period,site,date,sampleID,uniqueID,species,stipe_blade,length,tray,tray_wet,time_oven,tray_dry,comments,tag
2019-Jul,Meay,2019-07-08,112.1,na,macro,stipe,5,7838.5,10370.3,24,8124.1,"sample id was replicate, added .1",na
2019-Jul,Meay,2019-07-08,113.1,na,macro,stipe,5,7834.9,10014.2,24,8106.5,"sample id was replicate, added .1",na
2019-Jul,Meay,2019-07-08,114.1,na,macro,stipe,5,7214.8,9360,24,7485.6,"sample id was replicate, added .1",na
2019-Jul,Triquet,2019-07-10,115.1,na,macro,blade,20,7667,9953.6,24,8066.1,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,Triquet,2019-07-10,116.1,na,macro,blade,20,7699.6,9214.3,24,7920.2,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,Triquet,2019-07-10,117.1,na,macro,blade,20,7366.5,10580.9,24,7781.5,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,Triquet,2019-07-10,118.1,na,macro,blade,20,7702.4,9857.6,24,8069.3,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,Triquet,2019-07-10,119.1,na,macro,blade,20,7917.3,10323,24,8267.7,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,Womanley,2019-07-11,120.1,na,macro,stipe,5,7120,9355.2,24,7414.7,"sample id was replicate, added .1",na
2019-Jul,Womanley,2019-07-11,121.1,na,macro,stipe,5,9719.1,13544.2,24,10101.7,"sample id was replicate, added .1",na
2019-Jul,Womanley,2019-07-11,122.1,na,macro,stipe,5,7556.1,10811.9,24,7846.3,"sample id was replicate, added .1",na
2019-Jul,Womanley,2019-07-11,123.1,na,macro,stipe,5,7207.3,10017.2,24,7554.7,"sample id was replicate, added .1",na
2019-Jul,Womanley,2019-07-11,124.1,na,macro,stipe,5,7819,11375.8,24,8190.6,"sample id was replicate, added .1",na
2019-Jul,Womanley,2019-07-11,125.1,na,macro,blade,20,7934.2,9025.3,24,8063.2,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,Womanley,2019-07-11,126.1,na,macro,blade,20,7819.6,9839.1,24,8106.3,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,Womanley,2019-07-11,127.1,na,macro,blade,20,7357.5,9218.5,24,7631.9,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,Womanley,2019-07-11,128.1,na,macro,blade,20,7819.6,9835.9,24,na,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,Womanley,2019-07-11,129.1,na,macro,blade,20,7934.2,9022.4,24,na,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,Golden,2019-07-11,130.1,na,macro,blade,20,7817.6,9824.1,24,8114.2,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,Golden,2019-07-11,131.1,na,macro,blade,20,7830.6,9997.3,24,8143.4,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,Golden,2019-07-11,132.1,na,macro,blade,20,7116.2,9788.1,24,7446.6,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,Golden,2019-07-11,133.1,na,macro,blade,20,7099.2,8328.9,24,7312.8,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,Golden,2019-07-11,134.1,na,macro,blade,20,7941.9,9648.7,24,8219.9,"sample id was replicate, added .1, blade section = 20cm by 5cm",na
2019-Jul,Golden,2019-07-11,135.1,na,macro,stipe,5,10227.9,14270.7,24,10682.1,"sample id was replicate, added .1",na
2019-Jul,Golden,2019-07-11,136.1,na,macro,stipe,5,7988.3,9242.1,24,8119.4,"sample id was replicate, added .1",na
2019-Jul,Golden,2019-07-11,137.1,na,macro,stipe,5,7946.4,10979.4,24,8231,"sample id was replicate, added .1",na
2019-Jul,Golden,2019-07-11,138.1,na,macro,stipe,5,7195,11496.2,24,7752,"sample id was replicate, added .1",na
2019-Jul,Golden,2019-07-11,139.1,na,macro,stipe,5,7119.2,10312.7,24,7497.5,"sample id was replicate, added .1",na
