period,date,site,diver,transect,side,dist,Sbulb_max,comments
2022-Jul,2022-07-10,Breaker,OP,3,na,na,14,
2022-Jul,2022-07-10,Breaker,OP,3,na,na,22,
2022-Jul,2022-07-10,Breaker,OP,3,na,na,27,
2022-Jul,2022-07-10,Breaker,OP,3,na,na,34,
2022-Jul,2022-07-10,Breaker,OP,3,na,na,39,
2022-Jul,2022-07-10,Breaker,OP,3,na,na,47,
2022-Jul,2022-07-10,Breaker,OP,3,na,na,47,
2022-Jul,2022-07-10,Breaker,OP,3,na,na,26,
2022-Jul,2022-07-10,Breaker,OP,2,na,na,26,
2022-Jul,2022-07-10,Breaker,OP,2,na,na,40,
2022-Jul,2022-07-10,Breaker,OP,2,na,na,31,
2022-Jul,2022-07-10,Breaker,OP,2,na,na,47,
2022-Jul,2022-07-10,Breaker,OP,2,na,na,44,
2022-Jul,2022-07-10,Breaker,OP,2,na,na,50,
2022-Jul,2022-07-10,Breaker,OP,2,na,na,52,
2022-Jul,2022-07-10,Breaker,OP,2,na,na,57,
2022-Jul,2022-07-10,Breaker,OP,2,na,na,20,
2022-Jul,2022-07-10,Breaker,OP,2,na,na,17,
2022-Jul,2022-07-10,Breaker,OP,2,na,na,9,
2022-Jul,2022-07-10,Breaker,OP,2,na,na,18,
2022-Jul,2022-07-10,Breaker,OP,2,na,na,15,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,25,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,35,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,16,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,25,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,15,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,25,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,32,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,25,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,11,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,44,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,12,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,21,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,20,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,6,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,18,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,12,
2022-Jul,2022-07-10,Manley,DVM,1,na,na,29,
