period,date,site,contour,transect,diver,tag,stipeL,bladeL,Bwidth,pneuD,Sbulb_max,Sbulb_10,Sbulb_15,Bcount,bladeW,stipeW,Psori,comments,sampleID,uniqueID,"*** stipeL /bladeL = cm, bladeWidth/pneuD/Sbulb_max/Sbulb_10/Sbulb_15 = mm, bladeW/stipeW = kg"
2018-Aug,2018-08-21,Second,na,na,GSB,na,354,74,na,89,na,31,31,87,1.3,0.85,na,,na,na,
2018-Aug,2018-08-21,Second,na,na,GSB,na,588,86,na,75,na,38,38,12,0.64,0.81,na,,na,na,
2018-Aug,2018-08-21,Second,na,na,GSB,na,476,79,na,75,na,27,23,49,0.61,0.63,na,,na,na,
2018-Aug,2018-08-27,North,na,na,NAP/OP,na,545,170,na,93,na,48,46,63,3.21,2.11,na,,na,na,
2018-Aug,2018-08-27,North,na,na,NAP/OP,na,532,177,na,94,na,52,51,29,2.01,2.47,na,,na,na,
2018-Aug,2018-08-27,North,na,na,NAP/OP,na,441,100,na,95,na,45,43,41,1.04,1.88,na,,na,na,
2018-Aug,2018-08-27,North,na,na,NAP/OP,na,23,113,na,95,na,54,51,87,3.12,2.12,na,,na,na,
2018-Aug,2018-08-27,North,na,na,NAP/OP,na,447,160,na,76,na,40,38,16,0.83,0.98,na,,na,na,
2018-Aug,2018-08-27,North,na,na,NAP/OP,na,536,183,na,88,na,40,41,37,3.95,1.84,na,,na,na,
2018-Aug,2018-08-27,North,na,na,NAP/OP,na,415,214,na,83,na,36,33,39,3.55,1.05,na,,na,na,
2018-Aug,2018-08-27,North,na,na,NAP/OP,na,475,120,na,90,na,45,45,38,3.64,2.48,na,,na,na,
2018-Aug,2018-08-27,North,na,na,NAP/OP,na,491,140,na,67,na,33,32,30,0.93,0.72,na,,na,na,
